Language,Instance Count
Tungag,2
Agutaynen,2
Central Tunebo,2
Bardi,2
Wandala,2
Benga,2
Amahuaca,2
Yindjibarndi,2
Kamayurá,2
To'abaita,2
Ỹaroamë,2
Nukunu,2
Apalaí,2
Guianese Creole,2
Kamta,2
Proto-North Iroquoian,2
Chitimacha,2
Kassonke,2
Lovono,2
Brunei Bisaya,2
Roviana,2
Buli (Ghana),2
Imonda,2
Murrinh-Patha,2
Lala-Bisa,2
Proto-Zapotec,2
Dobel,2
Nisenan,2
Waioli,2
Wagi,2
Mochica,2
Blin,2
Ngoni,2
Ida'an,2
Güenoa,2
Lele (Guinea),2
Tuamotuan,2
Nalca,2
Mangghuer,2
Makhuwa,2
Elkei,2
Miriwung,2
Proto-Circassian,2
Dameli,2
Suyá,2
Uspanteco,2
Mandan,2
Naxi,2
Nkoya,2
Boloki,2
Kwangali,2
Proto-Lezghian,2
Paicî,2
Pitcairn-Norfolk,2
Sinacantán,2
Yombe,2
Avokaya,2
Adzera,2
Wanyi,2
Koko-Bera,2
Huli,2
Tirax,2
Ndom,2
Ashéninka Perené,2
Chuave,2
Jiamao,2
Mulam,2
Tanimuca-Retuarã,2
Calamian Tagbanwa,2
Mikasuki,2
Molbog,2
Bih,2
Timugon Murut,2
Fataluku,2
Ramoaaina,2
Erromintxela,2
Rikbaktsa,2
Proto-Selkup,2
Sukurum,2
Lawi,2
Proto-Chukotko-Kamchatkan,2
Kichwa,2
Girirra,2
Belait,2
Biak,2
Shoshone,2
Sinicahua Mixtec,2
Proto-Bahnaric,2
E,2
San Martín Itunyoso Triqui,2
Tübatulabal,2
Palenquero,2
Guerrero Nahuatl,2
Tauya,2
South Marquesan,2
Bura Mabang,2
Chinook,2
Pijao,2
Proto-Athabaskan,2
Baruga,2
Urhobo,2
Esmeralda,2
Shambala,2
Leti,2
Massachusett,2
Kamasau,2
Teiwa,2
Michoacán Mazahua,2
Timote,2
Urubú-Kaapor,2
Aneme Wake,2
Sandawe,2
Ancient Macedonian,2
Kerek,2
Aghul,2
Khamnigan Mongol,2
Koryak,2
Siberian Tatar,2
Bezhta,2
Shughni,2
Khinalug,2
Yevanic,2
Knaanic,2
Kundal Shahi,2
Omani Arabic,2
Hassaniya Arabic,2
Deccani,2
Ahirani,2
Mundari,2
Northern Pwo,2
Tavoyan,2
Moroccan Amazigh,2
Gandhari,2
Old South Arabian,2
Old Turkic,2
Hurrian,2
Sãotomense,2
Ho,2
Karipúna Creole French,2
Ipai,1
East Damar,1
Luba-Katanga,1
Hawai'i Pidgin Sign Language,1
Hungarian Sign Language,1
Kâte,1
Stoney,1
Mian,1
Worora,1
Mubi,1
Lotuko,1
Gusii,1
Kirikiri,1
Wano,1
Réunion Creole French,1
Tetserret,1
Bayogoula,1
Jilim,1
Ata Manobo,1
Wirö,1
Anauyá,1
Macushi,1
Angami,1
Western Durango Nahuatl,1
Hani,1
Abu',1
Malaccan Creole Malay,1
Angoram,1
Bamukumbit,1
Mandailing Batak,1
Pa'a,1
Baduy,1
Fox,1
Migaama,1
Cupeño,1
Dime,1
Esan,1
Proto-Scythian,1
Cacán,1
Tsafiki,1
Tuwali Ifugao,1
Kathlamet,1
Anmatyerre,1
Atikamekw,1
Tadaksahak,1
Tetela,1
Old Median,1
Ekari,1
Saraveca,1
Okwanuchu,1
Abai,1
Isabi,1
Apali,1
Binongan Itneg,1
Suba,1
Xavante,1
Alazapa,1
Simeulue,1
Grenadian Creole English,1
Sebuyau,1
Baram Kayan,1
Torau,1
Basque-Icelandic Pidgin,1
Central Tagbanwa,1
Turi,1
Natú,1
Kulon,1
Waskia,1
Peñoles Mixtec,1
Balau,1
Baiso,1
Temiar,1
Kelabit,1
Upper Kinabatangan,1
Amganad Ifugao,1
Miya,1
Arbore,1
Northern Dagara,1
Javindo,1
Dení,1
Burarra,1
Sukuma,1
West Uvean,1
Bongili,1
Kunda,1
Central Pomo,1
Estado de México Otomi,1
Proto-Nyulnyulan,1
Akoose,1
Amele,1
Maléku Jaíka,1
Catuquinaru,1
Tonkawa,1
Muzo,1
Cazcan,1
Proto-Koreanic,1
Nez Perce,1
Mara Chin,1
Northern Sierra Miwok,1
Matsés,1
Kitembo,1
Moose Cree,1
Sapa,1
Highland Totonac,1
Aribwaung,1
Yuanga,1
Gourmanchéma,1
Proto-Central Dravidian,1
Cèmuhî,1
Karankawa,1
Ik,1
Athpare,1
Lango (Uganda),1
Yamben,1
Nen,1
Fyam,1
Kunama,1
Sinte Romani,1
Bwaidoka,1
Muyuw,1
Budibud,1
Manam,1
Desano,1
Siriano,1
Cañari,1
Yale,1
Ambala Ayta,1
Chuanqiandian Cluster Miao,1
Proto-Trique,1
Pecheneg,1
Andoque,1
Rawa,1
Abom,1
Calabrian Greek,1
Tommo So,1
Urarina,1
Amara,1
Nande,1
Asu,1
Kadaru,1
Akolet,1
Eloyi,1
Mauwake,1
Nend,1
Sabu,1
Ese Ejja,1
Urartian,1
Ignaciano,1
Ngadha,1
Aasax,1
Mende,1
Berom,1
Narom,1
Bende,1
Babanki,1
Kumak,1
Cheke Holo,1
Kómnzo,1
Masiwang,1
Bonkiman,1
Wulguru,1
Alekano,1
Khotanese,1
Komering,1
Bidiyo,1
Copainalá Zoque,1
Balkan Romani,1
Kensiu,1
Waropen,1
Musgu,1
Korowai,1
Kasem,1
Kurnai,1
Iduna,1
Jaminjung,1
Kalanga,1
Nunggubuyu,1
Boghom,1
Likum,1
Araona,1
Lamma,1
Shebayo,1
Malalí,1
Proto-Saka,1
Dumi,1
Umotína,1
Penrhyn,1
Washo,1
Abui,1
Koromfé,1
Hoyahoya,1
Burgundian,1
North Marquesan,1
Sikaiana,1
Haush,1
Singpho,1
Southern Mashan Hmong,1
Carabayo,1
Kaluli,1
Kinikinao,1
Huaorani,1
Patpatar,1
Gabrielino-Fernandeño,1
Kubo,1
Pirahã,1
Chayahuita,1
Agoi,1
Gavak,1
Namia,1
Buena Vista Yokuts,1
Karaga Mandaya,1
Bo-Rukul,1
Lambya,1
Önge,1
Ngie,1
Lachixío Zapotec,1
Kala Lagaw Ya,1
Foi,1
Margany,1
Alladian,1
Akuwagel,1
Yabong,1
Padoe,1
Southern Bontoc,1
Ngandi,1
Ritarungo,1
Kolom,1
Capanahua,1
Luang,1
Ubir,1
Jita,1
Kuku-Yalanji,1
Yawuru,1
San Marcos Tlalcoyalco Popoloca,1
Matengo,1
Panyjima,1
Kwang,1
Sarangani Manobo,1
Dori'o,1
Mungaka,1
Motu,1
Proto-Mixe-Zoque,1
Hoava,1
Sabüm,1
Tabo,1
Tiwi,1
Proto-Kra,1
Proto-Tai,1
Ujir,1
Watubela,1
North Muyu,1
Yir-Yoront,1
Gele',1
Alutiiq,1
As,1
Kasua,1
Agawam,1
Terengganu Malay,1
Southern Tiwa,1
Kim Mun,1
Atakapa,1
Alsea,1
Proto-Hurro-Urartian,1
Mursi,1
Khonso,1
Umbu-Ungu,1
Termanu,1
Waboda,1
Cogui,1
Repanbitip,1
West Tarangan,1
Pemon,1
Warekena,1
Hixkaryana,1
Wobé,1
Nehan,1
Sop,1
Perema,1
Kokota,1
Kalkatungu,1
Ngan'gityemerri,1
Lenje,1
Proto-Zapotecan,1
Palikur,1
Simbari,1
Fang (Bantu),1
Luiseño,1
Talinga-Bwisi,1
Soo,1
Proto-Ugric,1
Plains Apache,1
Mang,1
Hruso,1
Proto-West Semitic,1
Awara,1
Nakanai,1
Masbate Sorsogon,1
Haitian Vodoun Culture Language,1
Aneityum,1
Lishán Didán,1
Kapin,1
Hutterisch,1
Djimini,1
Pele-Ata,1
Aka-Bo,1
Old Lithuanian,1
Campalagian,1
Gayil,1
Ratahan,1
Lucumí,1
Kiautschou German Pidgin,1
Balaesang,1
Mahou,1
Rincón Zapotec,1
Tairuma,1
Gagadu,1
Ocaina,1
Besisi,1
Ahwai,1
Gogo,1
Malibu,1
Gola,1
Sanaviron,1
Proto-Atlantic-Congo,1
Ngaanyatjarra,1
Ninzo,1
Luguru,1
Papapana,1
Budza,1
Cacua,1
Duwet,1
Babatana,1
Sokoro,1
Pare,1
Lunda,1
Zinza,1
Lo-Toga,1
Mwera,1
Ghotuo,1
Burji,1
Cruzeño,1
Nkoroo,1
Kalabari,1
Daasanach,1
Kok-Nar,1
Takwane,1
Trumai,1
Au,1
Hehe,1
Mokpwe,1
Zauzou,1
Ndzwani Comorian,1
Zigula,1
Mocana,1
Awar,1
Kaiwá,1
Bruny Island,1
Tektiteko,1
Toraja-Sa'dan,1
Chimwiini,1
East Futuna,1
Nage,1
Makhuwa-Shirima,1
Tarpia,1
Nandi,1
Giryama,1
Avava,1
Zapotec,1
Kinga,1
Manta,1
Menka,1
North Slavey,1
Mbugu,1
Tee,1
Paite,1
Cung,1
Cowlitz,1
Punu,1
Basaa,1
Eastern Acipa,1
Tainae,1
Tehit,1
Bulu (New Guinea),1
Proto-Western Kho-Bwa,1
Sepik Iwam,1
Uma,1
Bonan,1
Tolomako,1
Siroi,1
Koshin,1
Zimakani,1
Waray Sorsogon,1
Kuuk Thaayorre,1
Lardil,1
Yindjilandji,1
Banda-Bambari,1
Djambarrpuyngu,1
Birgid,1
Nomatsiguenga,1
Eipomek,1
Talaud,1
Western Sisaala,1
Bandi,1
Kobol,1
Dano,1
Aghu Tharrnggala,1
Bhele,1
Nasioi,1
Ngiemboon,1
Amarizana,1
Guanano,1
Achuar,1
Gbagyi,1
Tomoip,1
Nong Zhuang,1
Southeastern Dinka,1
Lafofa,1
Bimoba,1
Gros Ventre,1
Eastern Mnong,1
Muak Sa-aak,1
Paamese,1
Taikat,1
Betoi,1
Southeast Ambrym,1
Ede Ije,1
Celtiberian,1
Maasai,1
Dairi Batak,1
Amaimon,1
Tz'utujil,1
Pamosu,1
Kowaki,1
Kawishana,1
Ogea,1
Laven,1
Duit,1
Butuanon,1
Carpathian Romani,1
Futuna-Aniwa,1
Southern Sama,1
Enga,1
Kuku-Thaypan,1
Kovai,1
Culina,1
Baenan,1
Guhu-Samane,1
Patwin,1
Marawan,1
Komodo,1
Hmwaveke,1
Kombio,1
Tera,1
Muellama,1
Mabaan,1
Baldemu,1
Wik-Mungkan,1
Sanggau,1
Jeh,1
Tulu-Bohuai,1
Middle Cornish,1
Rahambuu,1
Chokwe,1
Lake Miwok,1
Southern Sierra Miwok,1
Okanagan,1
Thompson,1
Jehai,1
Quinault,1
Ineseño,1
Kashaya,1
Toba,1
Timucua,1
Quimbaya,1
Awngthim,1
Hakö,1
Tumleo,1
Chuka,1
Lai,1
Arigidi,1
Haruai,1
Kaulong,1
Ili Turki,1
Volga German,1
Lampung Api,1
Caribbean Javanese,1
Harsusi,1
Mortlockese,1
Nkangala,1
Machiguenga,1
Northern Valley Yokuts,1
Paumarí,1
Tajio,1
Pingelapese,1
Remun,1
Aruop,1
Nukna,1
Lule,1
Montana Salish,1
Mala (New Guinea),1
Lotud,1
Abun,1
Suabo,1
Afitti,1
Bangala,1
Ben Tey,1
Goemai,1
Proto-Central-Eastern Malayo-Polynesian,1
Proto-Eastern Malayo-Polynesian,1
Mag-Anchi Ayta,1
Pilagá,1
Tunica,1
Kove,1
Wusi,1
Proto-Great Andamanese,1
Sileibi,1
Kwaio,1
Karitiâna,1
Baruya,1
Guarayu,1
Kara (New Guinea),1
Hupdë,1
Karawa,1
Panará,1
Nemi,1
Kadugli,1
Chru,1
Pareci,1
Madak,1
Aari,1
Korak,1
Tavringer Romani,1
Obispeño,1
Woccon,1
Obokuitai,1
Huaxcaleca Nahuatl,1
Proto-Iroquoian,1
Monumbo,1
Southern Qiang,1
Makasae,1
Mbre,1
Ciguayo,1
Kustenau,1
Krymchak,1
Tandaganon,1
Avatime,1
Wutung,1
Cốông,1
Adele,1
Tahltan,1
Taje,1
Sumau,1
Munit,1
Otomaco,1
Proto-North Halmahera,1
Pakanha,1
Alas-Kluet Batak,1
Inlaod Itneg,1
Tonsawang,1
Inuktun,1
Arosi,1
Proto-Ta-Arawak,1
Waube,1
Mpalitjanh,1
Záparo,1
Mota,1
Uradhi,1
Lenakel,1
Bilur,1
Labuk-Kinabatangan Kadazan,1
Mussau-Emira,1
Bintulu,1
Tinputz,1
Nguôn,1
Kamarian,1
Buru (Indonesia),1
Luhu,1
Arta,1
Bwanabwana,1
Asilulu,1
Sika,1
Enxet,1
Fore,1
Nengone,1
Northeast Pashayi,1
Tunjung,1
Larike-Wakasihu,1
Manipa,1
Wyandot,1
Tonsea,1
Kota (Gabon),1
Nottoway,1
Proto-Siouan-Catawban,1
Urat,1
Worimi,1
Moma,1
Marrithiyel,1
Maranungku,1
Warluwara,1
Mapidian,1
Palu'e,1
Maridan,1
Ma'anyan,1
Daakaka,1
Proto-Mansi,1
Wapishana,1
Allentiac,1
Barí,1
Proto-Dargwa,1
Andaqui,1
Sierra Negra Nahuatl,1
Sechura,1
Santa María La Alta Nahuatl,1
Atsugewi,1
Sirionó,1
Nungon,1
Murik (New Guinea),1
Demta,1
Ura (Vanuatu),1
Sekar,1
Ga'anda,1
Itene,1
Pulabu,1
Mbula,1
Kok-Paponk,1
Aka-Bea,1
Nawaru,1
Diodio,1
Wagaya,1
Gitua,1
Chirino,1
Vili,1
Catacao,1
Phom,1
Car Nicobarese,1
Tedaga,1
Abanyom,1
Nkem-Nkum,1
Baniwa,1
Huarijio,1
Fulniô,1
Zenaga,1
Tshwa,1
Gcwi,1
Wawa,1
Proto-Aroid,1
Bu-Nao Bunu,1
Comox,1
Ishkashimi,1
Taimyr Pidgin Russian,1
Oroch,1
Forest Nenets,1
Koibal,1
Judeo-Persian,1
Lishanid Noshan,1
Northern Luri,1
Kermanic,1
Old Tati,1
Parkari Koli,1
Lasi,1
N'Ko,1
Bagheli,1
Nimadi,1
Bihari,1
Idu,1
Chepang,1
Dura,1
Varli,1
Alu Kurumba,1
Mullu Kurumba,1
Aranadan,1
Malavedan,1
Nyaw,1
Khmu,1
Chocangaca,1
Zhang-Zhung,1
Nyenkha,1
Zangskari,1
Tai Laing,1
Middle Mon,1
Early Modern Korean,1
Harari,1
Argobba,1
Classical Mongolian,1
Proto-Highland East Cushitic,1
Yonaguni,1
Yaeyama,1
Cia-Cia,1
Edomite,1
Ammonite,1
Niya Prakrit,1
Minaean,1
Dumaitic,1
Taymanitic,1
Eblaite,1
Ayizo,1
Proto-Malayo-Chamic,1
Old Breton,1
Yupiltepeque,1
Koorete,1
Carian,1
Negerhollands,1
Tofa,1
Manda (India),1
Achi,1
Anāl,1
San Agustín Mixtepec Zapotec,1
Western Kayah,1
Bathari,1
Bhadrawahi,1
Chiricahua,1
A-Hmao,1
Arop-Lokep,1
Kuvi,1
Karang,1
Tutong,1
Lakon,1
Yanesha',1
Proto-Yoruba,1
Old Bengali,1
Lipo,1
Khitan,1
Pykobjê,1
Birhor,1
